Item,Profile
DISP Lost Mary OS5000 5000 Puffs 5% Forest Mint,"Mint, Menthol, Ice"
DISP Lost Mary OS5000 5000 Puffs 5% Grape,"Grape, Fruit"
DISP Lost Mary OS5000 5000 Puffs 5% Juicy Peach,"Peach, Ice, Sweet, Fruit"
DISP Lost Mary OS5000 5000 Puffs 5% Kiwi Passion Fruit Guava,"Kiwi, Passionfruit, Guava, Fruit"
DISP Lost Mary OS5000 5000 Puffs 5% Light Snow Peppermint,"Mint, Peppermint, Ice, Menthol"
DISP Lost Mary OS5000 5000 Puffs 5% Mad Blue,"Blueberry, Blackberry, Raspberry, Fruit"
DISP Lost Mary OS5000 5000 Puffs 5% Mary Dream,"Pineapple, Mango, Coconut, Tropical, Fruit"
DISP Lost Mary OS5000 5000 Puffs 5% Peach Ice,"Peach, Ice, Sweet, Fruit"
DISP Lost Mary OS5000 5000 Puffs 5% Peach Mango Watermelon,"Peach, Mango, Watermelon, Fruit"
DISP Lost Mary OS5000 5000 Puffs 5% Pineapple Mango,"Pineapple, Mango, Fruit"
DISP Lost Mary OS5000 5000 Puffs 5% Spearmint,"Spearmint, Ice, Menthol, Mint"
DISP Lost Mary OS5000 5000 Puffs 5% Strawberry Ice,"Strawberry, Ice, Menthol, Fruit"
DISP Lost Mary OS5000 5000 Puffs 5% Strawberry Mango,"Strawberry, Mango, Fruit"
DISP Lost Mary OS5000 5000 Puffs 5% Strawberry Pina Colada,"Strawberry, Pina Colada, Pineapple, Coconut, Fruit"
DISP Lost Mary OS5000 5000 Puffs 5% Strawberry Sundae,"Strawberry, Sundae, Cream, Vanilla, Dessert"
DISP Lost Mary OS5000 5000 Puffs 5% Triple Berry Duo Ice,"Berry, Ice, Strawberry, Blueberry, Raspberry, Menthol, Fruit"
DISP Lost Mary OS5000 5000 Puffs 5% Watermelon,"Watermelon, Fruit"
DISP Lost Mary OS5000 5000 Puffs 5% Watermelon Lemon,"Watermelon, Lemon, Fruit"
DISP Lost Vape Orion Bar 5% 7500 Puffs - Apple Cotton Candy,"Apple, Cotton Candy, Candy"
DISP Lost Vape Orion Bar 5% 7500 Puffs - Banana Cake,"Banana, Cake, Vanilla, Dessert"
DISP Lost Vape Orion Bar 5% 7500 Puffs - Blackcurrant Mixed Berry,"Blackcurrant, Mixed Berry, Fruit"
DISP Lost Vape Orion Bar 5% 7500 Puffs - Blue Razz Honeydew,"Blue Razz, Honeydew, Blue Raspberry, Melon, Fruit"
DISP Lost Vape Orion Bar 5% 7500 Puffs - Blueberry Pie,"Blueberry, Pie, Sweet, Graham, Dessert"
DISP Lost Vape Orion Bar 5% 7500 Puffs - Blueberry Raspberry,"Blueberry, Raspberry, Fruit"
DISP Lost Vape Orion Bar 5% 7500 Puffs - Double Apple Ice,"Apple, Ice, Menthol, Fruit"
DISP Lost Vape Orion Bar 5% 7500 Puffs - Dragon Fruit Berry,"Dragon Fruit, Berry, Strawberry, Blueberry, Raspberry, Kiwi, Fruit"
DISP Lost Vape Orion Bar 5% 7500 Puffs - Orange Ice,"Orange, Ice, Menthol"
DISP Lost Vape Orion Bar 5% 7500 Puffs - Passion Fruit Pineapple,"PassionFruit, Pineapple, Tropical, Fruit"
DISP Lost Vape Orion Bar 5% 7500 Puffs - Peach Mango Watermelon,"Peach, Mango, Watermelon, Fruit"
DISP Lost Vape Orion Bar 5% 7500 Puffs - Pineapple Lemonade,"Pineapple, Lemonade, Fruit"
DISP Lost Vape Orion Bar 5% 7500 Puffs - Rainbow Drop,"Sweet, Sour, Fruit, Strawberry, Lime, Grape, Lemon, Orange, Skittles, Candy"
DISP Lost Vape Orion Bar 5% 7500 Puffs - Raspberry Ice Tea,"Raspberry, Ice, Tea, Iced Tea, Fruit"
DISP Lost Vape Orion Bar 5% 7500 Puffs - Summer Peach Ice,"Peach, Ice, Sweet, Menthol"
DISP Lost Vape Orion Bar 5% 7500 Puffs - Triple Berries,"Blueberry, Blackberry, Raspberry, Fruit, Berry"
DISP Lost Vape Orion Bar Exotic Edition 5% 7500 Puffs - Cafe Mocha,"Coffee, Chocolate, Mocha, Dessert"
DISP Lost Vape Orion Bar Exotic Edition 5% 7500 Puffs - Euphoria Pudding,"Sweet, Pudding, Ice, Menthol, Vanilla, Custard, Dessert"
DISP Metaku Spongie 7500 Puffs - Blue Razz Ice,"Blue Razz, Ice, Blueberry Raspberry, Fruit, Menthol"
DISP Metaku Spongie 7500 Puffs - Cherry Lemon,"Cherry, Lemon, Fruit"
